city,region,city_type,year,month,season,avg_temperature_c,humidity_pct,population,population_density_per_km2,gdp_per_capita_usd,industrialization_level,industrial_zones_count,num_subscribers,renewable_energy_pct,grid_loss_pct,smart_meter_adoption_pct,peak_demand_hour,monthly_consumption_gwh,avg_wind_speed_kmh,monthly_rainfall_mm,electricity_price_tl_kwh,co2_emission_tons,avg_daily_sunshine_hours,infrastructure_score
Gaziantep,Southeastern Anatolia,Large City,2019,9,Autumn,17.61,47.88,2101263,1187.49,20165.46,High,6.0,775453.0,29.1,12.88,10.21,21:00,1.1873,"30,4",192.2 mm,₺0.53,"485,476",  11.2  ,32%
Mersin,Mediterranean,Large City,2016,6,Summer,39.33,55.2,1936586,578.6,14557.02,Medium,6.0,617091.0,22.65,15.75,23.73,20:00,1.2576,"63,7",241.2 mm,,"870,214",  5.0  ,43%
Malatya,Eastern Anatolia,Medium City,2015,5,Spring,10.77,68.53,781118,171.17,9046.6,Low,2.0,295421.0,40.47,15.06,14.1,08:00,0.2776,"18,7",155.0 mm,₺1.11,"631,795",  6.8  ,86%
Konya,Central Anatolia,Large City,2016,12,Winter,-2.81,74.55,2320259,829.01,,Medium,7.0,805945.0,,,37.54,19:00,0.4374,"24,4",142.6 mm,₺1.68,"150,397",  10.2  ,69%
Mersin,Mediterranean,Large City,2015,11,Autumn,24.33,56.72,1936586,1439.51,12505.5,Medium,4.0,587140.0,35.99,8.14,13.24,09:00,0.7862,"61,9",280.8 mm,₺1.49,"647,967",  10.4  ,51%
Denizli,Aegean,Medium City,2022,3,Spring,22.34,56.63,1062840,249.56,11797.26,Medium,2.0,354539.0,30.29,14.5,15.87,,0.5814,"35,3",146.1 mm,₺2.05,"798,003",  9.7  ,52%
Van,Eastern Anatolia,Medium City,2020,6,Summer,23.8,62.67,1126384,609.96,10120.04,Low,4.0,413461.0,27.68,,39.89,20:00,0.6726,"76,0",,₺1.33,,  6.8  ,80%
Afyonkarahisar,Aegean,Small City,2015,2,Winter,4.7,64.72,734000,234.19,9154.38,Low,1.0,231565.0,27.41,15.93,49.82,18:00,0.323,"39,3",102.7 mm,₺1.06,"562,757",  9.1  ,82%
Denizli,Aegean,Medium City,2020,12,Winter,4.0,66.06,1062840,605.69,13798.03,Medium,2.0,306685.0,42.66,12.41,66.46,20:00,0.7178,"28,8",276.0 mm,₺1.44,"90,323",  7.9  ,73%
Adana,Mediterranean,Large City,2021,2,Winter,9.87,51.72,2237940,1561.1,13401.63,High,8.0,803365.0,35.95,6.27,16.9,09:00,2.034,"28,8",98.6 mm,₺2.1,"898,597",  2.7  ,41%
Manisa,Aegean,Medium City,2018,6,Summer,,62.56,1452881,1617.96,11959.89,Medium,5.0,510463.0,17.17,12.72,70.2,20:00,0.8598,"36,6",280.7 mm,₺2.05,"370,028",  8.2  ,33%
Mersin,Mediterranean,Large City,2016,3,Spring,22.57,47.41,1936586,488.65,11492.64,Medium,6.0,727971.0,19.46,12.34,72.37,21:00,0.8088,"19,9",38.9 mm,₺1.95,"759,560",  3.9  ,62%
Balıkesir,Marmara,Medium City,2021,2,Winter,-1.89,59.42,1264958,2281.17,8630.83,Low,5.0,398124.0,43.57,11.17,38.89,08:00,0.6965,"16,6",111.0 mm,₺0.65,"62,021",  5.7  ,46%
Sakarya,Marmara,Medium City,2020,3,Spring,,62.06,1003000,280.1,11724.75,Medium,4.0,331275.0,9.14,10.93,22.13,09:00,0.4685,"68,3",16.3 mm,₺1.49,"716,203",  10.6  ,93%
Balıkesir,Marmara,Medium City,2019,9,Autumn,14.54,55.24,1264958,2240.93,9143.41,Low,4.0,399913.0,21.09,15.99,55.05,21:00,0.4698,"29,5",35.9 mm,₺1.21,"753,480",  8.4  ,36%
Erzurum,Eastern Anatolia,Medium City,2017,2,Winter,,50.75,762321,493.57,7656.0,Low,1.0,283280.0,7.81,,71.47,10:00,0.4433,"38,2",86.8 mm,₺1.85,"82,827",  11.8  ,
Erzurum,Eastern Anatolia,Medium City,2017,5,Spring,10.26,46.17,762321,200.69,,Low,3.0,282242.0,9.66,13.2,32.36,08:00,0.28,"69,0",226.8 mm,₺1.61,"9,369",  7.8  ,50%
Izmir,Aegean,Megacity,2021,9,Autumn,18.69,76.59,4394694,1651.48,17256.17,High,13.0,1269465.0,22.29,19.69,69.95,19:00,9.162,"57,6",233.7 mm,₺1.43,"377,231",  8.7  ,77%
Izmir,Aegean,Megacity,2022,10,Autumn,18.15,58.6,4394694,1220.75,16589.78,High,11.0,,28.61,12.63,46.73,18:00,2.9308,"74,4",86.2 mm,₺2.13,"896,976",  11.9  ,77%
Adana,Mediterranean,Large City,2021,5,Spring,,42.05,2237940,4336.26,19191.6,High,8.0,643996.0,16.17,10.52,56.38,09:00,1.4205,"42,8",79.5 mm,,"832,645",  5.8  ,52%
Konya,Central Anatolia,Large City,2020,1,Winter,-1.8,84.48,2320259,715.61,12538.48,Medium,7.0,679271.0,28.02,17.39,38.31,21:00,1.8115,"62,9",242.7 mm,₺2.39,"849,976",  4.5  ,42%
Samsun,Black Sea,Large City,2016,8,Summer,29.47,58.15,1361505,556.42,8765.56,Low,5.0,451521.0,44.58,7.37,61.53,19:00,0.7121,"5,9",244.0 mm,₺1.55,"391,419",  11.1  ,52%
Sivas,Central Anatolia,Medium City,2015,7,Summer,27.95,56.85,634149,250.88,10008.43,Low,1.0,235381.0,23.71,,63.65,09:00,0.282,"41,9",85.3 mm,₺2.24,"894,425",  11.9  ,69%
Izmir,Aegean,Megacity,2020,8,Summer,36.13,78.0,4394694,1464.59,19450.33,High,13.0,1346617.0,,9.33,29.69,21:00,3.5739,"29,4",224.1 mm,₺1.72,"871,289",  4.4  ,90%
Mugla,Aegean,Medium City,2017,9,Autumn,21.99,48.66,1012321,221.57,6538.86,Low,4.0,324687.0,10.2,12.45,55.43,19:00,0.4139,"56,8",172.8 mm,₺2.44,"189,556",  10.2  ,85%
Kocaeli,Marmara,Large City,2020,2,Winter,-1.03,48.22,2031963,656.81,20611.29,High,8.0,712371.0,37.82,7.04,69.79,,1.7632,"20,4",123.5 mm,₺2.17,"639,424",  7.2  ,65%
Adana,Mediterranean,Large City,2020,9,Autumn,20.85,44.18,2237940,3034.01,18043.57,High,8.0,677075.0,,6.56,55.69,18:00,1.5239,"27,8",,₺1.06,"618,189",  5.1  ,
Mersin,Mediterranean,Large City,2020,11,Autumn,21.74,79.34,1936586,451.95,14434.44,Medium,5.0,,43.75,12.26,45.86,21:00,1.152,"50,9",180.7 mm,₺0.51,"823,612",  8.3  ,41%
Canakkale,Marmara,Small City,2020,1,Winter,0.22,64.41,542000,163.18,8512.95,Low,2.0,153365.0,41.17,5.3,20.75,18:00,0.32,"48,3",115.1 mm,₺0.66,"392,288",  3.1  ,65%
Konya,Central Anatolia,Large City,2016,3,Spring,14.54,44.31,2320259,836.72,13185.86,Medium,5.0,860911.0,18.78,14.39,27.81,21:00,1.0727,"20,8",113.0 mm,₺1.43,"809,876",  7.8  ,52%
Kocaeli,Marmara,Large City,2015,9,Autumn,14.53,64.82,2031963,692.37,17401.04,High,6.0,747518.0,5.63,17.36,54.32,18:00,1.103,"66,9",183.1 mm,,"430,690",  8.8  ,53%
Afyonkarahisar,Aegean,Small City,2021,7,Summer,31.61,46.03,734000,203.1,8650.37,Low,1.0,235452.0,12.77,18.71,23.81,,0.3592,"73,8",168.4 mm,₺1.59,"777,546",  2.5  ,96%
Van,Eastern Anatolia,Medium City,2019,5,Spring,12.01,46.28,1126384,339.86,9606.91,Low,3.0,342662.0,40.71,9.15,66.52,20:00,0.4901,"7,0",155.0 mm,₺1.98,"642,037",  5.9  ,49%
Denizli,Aegean,Medium City,2021,7,Summer,33.25,65.42,1062840,426.28,,Medium,3.0,,30.95,15.91,19.13,08:00,0.7803,"20,5",133.5 mm,₺1.19,"591,075",  8.0  ,44%
Konya,Central Anatolia,Large City,2017,7,Summer,29.1,65.37,2320259,905.36,13008.68,Medium,6.0,860175.0,6.77,5.71,66.77,08:00,1.5015,"51,0",32.5 mm,₺1.88,"830,018",  7.9  ,54%
Eskisehir,Central Anatolia,Medium City,2022,5,Spring,15.22,77.89,882456,189.73,12509.01,Medium,2.0,308273.0,42.04,8.27,55.97,20:00,0.4572,"5,6",47.1 mm,₺1.78,"535,628",  2.9  ,66%
Kahramanmaras,Mediterranean,Medium City,2019,4,Spring,23.32,57.1,1178234,507.58,8345.46,Low,2.0,427666.0,,6.22,73.49,19:00,0.3699,"24,9",216.7 mm,₺1.22,"205,084",  4.3  ,49%
Adana,Mediterranean,Large City,2015,10,Autumn,26.2,64.54,2237940,824.85,18895.96,High,7.0,,34.82,12.58,42.67,20:00,1.2205,"51,1",88.8 mm,₺1.65,"335,348",  5.8  ,48%
Mugla,Aegean,Medium City,2022,9,Autumn,21.56,51.55,1012321,414.47,13459.61,Low,2.0,375165.0,21.41,6.6,12.68,18:00,0.4822,"45,4",195.2 mm,₺2.18,"719,629",  6.9  ,39%
Ankara,Central Anatolia,Megacity,2018,4,Spring,12.52,67.87,5639076,1650.27,16919.38,High,15.0,1603775.0,25.49,16.6,55.07,,3.031,"5,1",135.9 mm,₺2.47,"534,465",  2.4  ,76%
Mugla,Aegean,Medium City,2019,12,Winter,5.67,73.59,1012321,326.63,6901.45,Low,2.0,375939.0,23.03,10.74,25.22,21:00,0.6407,"33,9",258.7 mm,₺2.11,"348,728",  4.9  ,97%
Van,Eastern Anatolia,Medium City,2020,9,Autumn,6.21,55.55,1126384,1621.43,8616.02,Low,4.0,421207.0,37.75,9.29,69.44,18:00,0.4896,"60,4",98.3 mm,₺2.21,"35,211",  7.9  ,43%
Gaziantep,Southeastern Anatolia,Large City,2018,8,Summer,37.72,53.62,2101263,683.88,16751.26,High,8.0,590457.0,11.38,18.28,67.36,21:00,1.4825,"71,3",26.6 mm,₺0.52,"49,038",  9.3  ,65%
Mugla,Aegean,Medium City,2020,7,Summer,34.75,71.82,1012321,251.86,9082.34,Low,3.0,349594.0,14.27,5.22,42.05,19:00,1.5211,"78,8",296.5 mm,₺1.89,"723,365",  4.9  ,65%
Malatya,Eastern Anatolia,Medium City,2023,6,Summer,24.37,46.66,781118,289.68,5769.4,Low,2.0,236192.0,16.92,11.18,70.61,08:00,0.503,"23,6",98.7 mm,₺1.81,,  6.6  ,82%
Bursa,Marmara,Large City,2018,2,Winter,-1.33,50.8,3056120,745.1,14286.19,High,8.0,944094.0,6.39,11.14,62.58,21:00,3.0962,"5,6",147.0 mm,₺0.75,,,63%
Kahramanmaras,Mediterranean,Medium City,2021,9,Autumn,23.49,51.56,1178234,1867.56,8747.05,Low,4.0,411636.0,40.36,14.06,35.31,18:00,0.3656,"24,2",67.8 mm,₺1.31,"603,531",  6.0  ,61%
Trabzon,Black Sea,Medium City,2019,7,Summer,30.4,75.07,811874,556.97,8060.82,Low,4.0,269550.0,21.64,7.76,42.24,18:00,0.4116,"54,2",221.3 mm,₺2.5,"651,217",  2.1  ,86%
Antalya,Mediterranean,Large City,2019,3,Spring,27.01,73.17,2619832,1022.52,11658.91,Low,7.0,747167.0,32.97,15.67,65.88,10:00,0.919,"30,4",67.5 mm,₺1.3,"863,182",  5.8  ,83%
Adana,Mediterranean,Large City,2023,2,Winter,10.75,55.89,2237940,1640.25,17438.32,High,8.0,776233.0,19.06,9.37,63.83,18:00,2.0246,"55,1",12.7 mm,₺1.96,"598,608",  11.5  ,43%
Kocaeli,Marmara,Large City,2022,5,Spring,20.19,65.12,2031963,430.98,17758.19,High,8.0,580549.0,9.48,9.05,44.53,20:00,1.3242,"74,3",293.7 mm,₺0.78,"810,157",  2.8  ,88%
Hatay,Mediterranean,Large City,2023,4,Spring,24.13,45.74,1609856,465.1,8296.46,Low,6.0,602694.0,22.57,9.13,34.54,10:00,0.6239,,94.0 mm,₺1.22,"750,273",  4.5  ,77%
Kocaeli,Marmara,Large City,2017,1,Winter,1.27,68.05,2031963,2289.48,17585.67,High,7.0,623527.0,37.2,19.51,42.16,08:00,1.7305,"52,6",126.1 mm,₺0.83,"689,254",  9.3  ,48%
Balıkesir,Marmara,Medium City,2018,2,Winter,0.2,70.05,1264958,994.89,11729.92,Low,3.0,440887.0,42.95,5.91,11.62,20:00,0.6086,"13,4",169.5 mm,₺1.59,"260,778",  10.0  ,
Kocaeli,Marmara,Large City,2018,1,Winter,-2.1,69.47,2031963,794.65,17871.87,High,6.0,,19.18,17.19,74.65,18:00,2.0157,"51,3",119.2 mm,₺1.77,"444,952",  6.8  ,36%
Denizli,Aegean,Medium City,2015,10,Autumn,15.33,65.39,1062840,1121.19,11823.26,Medium,3.0,327241.0,5.94,11.44,18.4,18:00,0.5062,"31,3",248.6 mm,₺1.49,"785,350",  2.1  ,77%
Hatay,Mediterranean,Large City,2018,6,Summer,36.36,82.26,1609856,451.64,6948.19,Low,5.0,589889.0,13.7,9.54,59.86,20:00,0.8108,"14,9",66.8 mm,₺2.33,"555,620",  4.4  ,96%
Afyonkarahisar,Aegean,Small City,2022,4,Spring,21.16,69.53,734000,328.31,8278.84,Low,3.0,217785.0,36.55,10.27,12.17,18:00,0.099,"66,8",69.1 mm,₺1.09,"200,533",  9.2  ,77%
Kocaeli,Marmara,Large City,2020,11,Autumn,12.81,81.95,2031963,1400.91,,High,8.0,593755.0,43.55,16.91,70.28,20:00,1.3211,"71,1",158.8 mm,₺1.06,"221,657",  9.9  ,92%
Istanbul,Marmara,Megacity,2021,4,Spring,18.2,55.02,15840900,7974.38,20389.68,High,40.0,4475752.0,,18.88,56.03,09:00,8.9918,"21,0",101.1 mm,₺1.66,"853,036",  7.2  ,69%
Sakarya,Marmara,Medium City,2016,12,Winter,0.13,68.31,1003000,358.24,14208.68,Medium,4.0,351587.0,26.11,8.98,18.88,19:00,0.7329,"45,2",176.4 mm,₺2.08,"152,927",  2.1  ,51%
Trabzon,Black Sea,Medium City,2017,12,Winter,-2.05,61.11,811874,629.01,9554.61,Low,3.0,281688.0,19.54,8.25,73.09,20:00,0.4028,"30,0",228.5 mm,₺2.43,"792,979",  11.2  ,41%
Eskisehir,Central Anatolia,Medium City,2023,11,Autumn,10.76,66.33,882456,403.79,12601.12,Medium,3.0,255932.0,22.99,13.16,70.59,09:00,0.4876,"43,9",,₺1.97,"781,772",  11.8  ,65%
Tekirdag,Marmara,Medium City,2020,6,Summer,30.24,,1085000,464.61,13596.64,Medium,4.0,403376.0,23.36,8.66,40.7,10:00,0.7267,"23,7",98.8 mm,₺0.92,,  5.1  ,47%
Afyonkarahisar,Aegean,Small City,2020,2,Winter,2.72,47.08,734000,181.21,5674.07,Low,2.0,258238.0,13.93,15.29,27.87,09:00,0.4105,"12,7",226.5 mm,₺1.66,"125,690",  3.4  ,41%
Sakarya,Marmara,Medium City,2016,11,Autumn,13.02,79.09,1003000,1179.71,12837.86,Medium,2.0,338814.0,,15.94,64.79,08:00,0.4743,"48,7",,₺1.35,"272,378",  8.2  ,99%
Adana,Mediterranean,Large City,2017,2,Winter,7.14,56.86,2237940,1126.96,17779.78,High,7.0,666793.0,39.88,10.91,10.22,18:00,1.9661,"12,5",177.8 mm,₺1.71,"412,472",  3.4  ,53%
Mardin,Southeastern Anatolia,Small City,2020,8,Summer,33.82,62.75,833645,250.19,,Low,2.0,300303.0,24.09,15.02,,09:00,0.521,"39,2",297.7 mm,₺2.28,"416,798",  8.1  ,80%
Van,Eastern Anatolia,Medium City,2016,4,Spring,9.62,54.08,1126384,240.75,9154.83,Low,3.0,417280.0,37.09,12.16,47.38,21:00,0.4125,"33,1",222.0 mm,₺1.42,"168,300",  3.9  ,84%
Mersin,Mediterranean,Large City,2019,2,Winter,10.51,61.67,1936586,688.18,14685.2,Medium,5.0,582181.0,16.56,9.35,40.9,09:00,1.4074,"71,4",165.4 mm,₺0.87,"799,714",  3.5  ,65%
Mardin,Southeastern Anatolia,Small City,2017,12,Winter,,,833645,840.63,8984.47,Low,3.0,262474.0,24.43,11.88,63.15,20:00,0.4087,"31,4",40.4 mm,₺2.21,"40,878",  10.3  ,98%
Malatya,Eastern Anatolia,Medium City,2021,1,Winter,,78.27,781118,222.17,8857.44,Low,2.0,282137.0,21.76,14.0,64.69,20:00,0.4366,"24,8",58.0 mm,₺0.61,"101,014",  11.5  ,
Adana,Mediterranean,Large City,2021,4,Spring,24.31,57.15,2237940,533.47,19096.13,High,6.0,716288.0,29.95,12.23,74.1,20:00,1.5337,"49,8",37.6 mm,₺1.79,,  3.1  ,79%
Eskisehir,Central Anatolia,Medium City,2019,8,Summer,28.2,56.98,882456,864.13,11981.04,Medium,2.0,308823.0,43.78,16.02,65.44,10:00,0.5341,"6,2",108.8 mm,₺2.26,"801,230",  4.0  ,63%
Tekirdag,Marmara,Medium City,2023,6,Summer,30.68,54.0,1085000,510.47,,Medium,3.0,341701.0,7.32,13.75,64.83,21:00,0.794,"69,1",192.3 mm,₺2.02,"877,491",  9.4  ,61%
Antalya,Mediterranean,Large City,2015,1,Winter,7.66,83.26,2619832,524.43,8431.89,Low,6.0,809905.0,29.56,8.2,65.55,08:00,1.2652,"9,1",202.1 mm,₺2.02,"718,775",  2.3  ,82%
Kocaeli,Marmara,Large City,2018,7,Summer,28.81,42.75,2031963,407.71,18738.51,High,8.0,581393.0,,16.96,67.78,19:00,1.479,"72,6",151.7 mm,₺0.98,"309,443",  6.6  ,47%
Canakkale,Marmara,Small City,2018,10,Autumn,16.11,55.89,542000,938.06,7310.79,Low,3.0,198360.0,22.59,12.86,51.07,19:00,0.176,"44,6",289.3 mm,,"332,021",  7.0  ,91%
Trabzon,Black Sea,Medium City,2022,7,Summer,29.2,66.78,811874,327.27,7129.08,Low,4.0,,6.87,8.45,64.95,19:00,0.4595,"42,8",280.1 mm,₺2.39,"358,117",  2.4  ,90%
Istanbul,Marmara,Megacity,2015,10,Autumn,16.51,72.96,15840900,4271.72,15414.13,High,40.0,,29.33,15.73,54.18,08:00,9.2524,"56,0",98.8 mm,₺1.96,"771,468",  10.1  ,74%
Antalya,Mediterranean,Large City,2020,12,Winter,11.27,58.38,2619832,888.66,9494.0,Low,6.0,788068.0,43.4,16.52,34.97,18:00,1.4749,"57,7",74.5 mm,₺1.05,"318,993",  4.1  ,69%
Canakkale,Marmara,Small City,2017,5,Spring,21.44,77.89,542000,200.25,,Low,2.0,163832.0,35.44,12.87,31.95,18:00,0.1847,"36,1",93.1 mm,₺1.38,"414,294",,99%
Erzurum,Eastern Anatolia,Medium City,2017,7,Summer,21.95,74.59,762321,160.68,,Low,1.0,237972.0,35.69,8.09,40.26,21:00,0.3653,"35,8",173.0 mm,₺0.97,,,30%
Ankara,Central Anatolia,Megacity,2020,6,Summer,26.23,54.16,5639076,6691.77,17711.84,High,17.0,2050568.0,44.22,10.21,26.67,10:00,4.9669,"56,4",282.4 mm,₺2.48,"391,546",  5.7  ,55%
Manisa,Aegean,Medium City,2020,7,Summer,38.25,82.33,1452881,347.88,15111.29,Medium,3.0,416543.0,7.5,10.03,73.4,20:00,0.9431,,117.3 mm,₺0.81,"688,679",  10.3  ,83%
Balıkesir,Marmara,Medium City,2015,3,Spring,17.41,66.93,1264958,636.67,10118.11,Low,5.0,465155.0,28.95,5.97,67.02,,0.4231,"41,4",265.9 mm,₺1.14,"582,980",  4.7  ,36%
Mersin,Mediterranean,Large City,2021,2,Winter,8.82,48.86,1936586,1547.53,11541.32,Medium,6.0,624562.0,34.37,15.91,70.11,18:00,1.4579,"52,1",,₺1.03,"258,717",,
Kocaeli,Marmara,Large City,2020,1,Winter,-1.06,43.31,2031963,684.38,18430.48,High,7.0,622868.0,31.9,15.2,31.47,18:00,1.6901,,108.2 mm,₺1.61,"425,806",  10.5  ,70%
Malatya,Eastern Anatolia,Medium City,2020,3,Spring,7.3,53.89,781118,167.84,8317.42,Low,3.0,292385.0,15.85,11.82,21.93,09:00,0.3178,"31,6",141.0 mm,₺2.48,"205,234",  3.8  ,43%
Malatya,Eastern Anatolia,Medium City,2019,9,Autumn,7.52,51.22,781118,255.26,9560.22,Low,2.0,260868.0,8.05,,34.21,,0.3013,"47,2",150.0 mm,₺2.05,"150,215",  11.8  ,
Afyonkarahisar,Aegean,Small City,2022,5,Spring,,49.15,734000,440.0,7865.01,Low,2.0,246811.0,37.69,5.19,40.51,10:00,0.2919,"67,8",280.1 mm,₺1.53,"521,268",  10.1  ,34%
Mersin,Mediterranean,Large City,2015,2,Winter,9.85,73.13,1936586,626.04,11236.77,Medium,5.0,640986.0,32.53,19.57,51.52,19:00,1.3765,"35,8",86.2 mm,₺0.55,"287,943",  8.8  ,63%
Canakkale,Marmara,Small City,2015,4,Spring,20.73,62.38,542000,163.33,9083.22,Low,2.0,173173.0,18.66,5.43,70.48,21:00,0.181,"34,0",,₺0.62,"870,241",  9.1  ,78%
Canakkale,Marmara,Small City,2019,3,Spring,17.32,64.62,542000,134.23,6732.02,Low,2.0,204134.0,30.22,17.1,39.55,09:00,0.2038,"24,9",236.8 mm,₺2.23,"785,367",  4.9  ,34%
Eskisehir,Central Anatolia,Medium City,2022,8,Summer,25.44,76.28,882456,804.19,13090.82,Medium,3.0,260348.0,33.34,11.98,37.24,09:00,0.5577,"47,9",69.2 mm,₺0.79,"21,896",  5.0  ,37%
Trabzon,Black Sea,Medium City,2020,5,Spring,14.23,79.28,811874,403.06,9687.81,Low,3.0,265411.0,35.32,6.26,38.29,10:00,0.3271,"71,7",145.8 mm,₺2.35,"431,675",  4.0  ,44%
Istanbul,Marmara,Megacity,2020,11,Autumn,17.92,70.6,15840900,5395.38,17564.32,High,40.0,5317865.0,41.38,5.27,,20:00,9.2723,"7,0",205.1 mm,,"158,173",  7.4  ,41%
Bursa,Marmara,Large City,2020,10,Autumn,15.35,40.54,3056120,711.55,18600.25,High,9.0,1004186.0,7.47,8.13,15.59,20:00,1.6074,"37,6",266.4 mm,₺1.77,"719,338",  5.5  ,98%
Eskisehir,Central Anatolia,Medium City,2016,2,Winter,-3.72,50.18,882456,454.63,15480.45,Medium,2.0,253100.0,,18.48,29.64,18:00,1.6749,"60,6",135.1 mm,₺0.88,"794,336",  4.7  ,71%
Van,Eastern Anatolia,Medium City,2021,8,Summer,21.39,,1126384,456.99,10119.13,Low,3.0,422445.0,39.67,9.24,47.81,08:00,0.6585,"40,8",229.7 mm,₺2.41,"843,929",  7.1  ,72%
Diyarbakir,Southeastern Anatolia,Large City,2016,1,Winter,5.12,52.76,1801268,985.09,11641.37,Low,,636732.0,,,74.04,20:00,1.0677,"76,1",125.4 mm,₺1.21,"10,521",  5.8  ,32%
Istanbul,Marmara,Megacity,2017,4,Spring,14.88,40.98,15840900,8236.25,17148.12,High,41.0,4770830.0,38.84,16.04,19.44,09:00,9.1223,"29,3",279.1 mm,₺0.61,"631,738",  7.3  ,52%
Denizli,Aegean,Medium City,2021,5,Spring,22.57,67.71,1062840,226.3,11358.84,Medium,3.0,317308.0,44.61,5.0,34.96,10:00,0.4167,"62,0",64.4 mm,₺0.55,"729,957",  6.9  ,96%
Kocaeli,Marmara,Large City,2022,6,Summer,29.33,55.28,2031963,1754.65,16407.39,High,6.0,706900.0,,15.57,49.79,20:00,1.6676,"54,7",191.3 mm,₺1.21,"111,810",  9.6  ,98%
Eskisehir,Central Anatolia,Medium City,2016,7,Summer,25.04,44.24,882456,272.55,13235.56,Medium,2.0,272091.0,15.89,17.98,33.85,19:00,0.5493,"41,8",23.2 mm,₺0.99,"464,923",  8.9  ,44%
Ankara,Central Anatolia,Megacity,2016,11,Autumn,15.42,,5639076,1567.89,20206.76,High,15.0,2022682.0,40.68,19.33,30.5,10:00,3.2237,"11,6",75.8 mm,₺1.06,"297,492",  4.8  ,35%
Mersin,Mediterranean,Large City,2015,11,Autumn,28.33,84.84,1936586,2124.17,12171.67,Medium,6.0,657071.0,13.95,13.05,47.71,18:00,0.9278,"51,0",134.6 mm,₺1.56,"292,433",  2.6  ,88%
Sakarya,Marmara,Medium City,2019,8,Summer,30.43,55.31,1003000,1038.71,13176.95,Medium,4.0,338549.0,27.27,11.27,57.79,09:00,0.6357,"26,3",191.2 mm,₺1.14,"72,121",  6.0  ,32%
Bursa,Marmara,Large City,2018,3,Spring,20.04,52.32,3056120,657.99,17500.18,High,8.0,863200.0,13.41,7.04,70.82,18:00,1.6664,"65,6",273.0 mm,₺1.85,"352,018",,64%
Malatya,Eastern Anatolia,Medium City,2023,8,Summer,,79.72,781118,188.71,7442.04,Low,1.0,289235.0,17.79,17.92,67.95,19:00,0.4955,"12,5",249.4 mm,₺2.3,"644,084",  11.1  ,
Tekirdag,Marmara,Medium City,2019,11,Autumn,16.09,46.77,1085000,492.8,13453.17,Medium,4.0,329873.0,44.33,,51.47,19:00,0.4715,"38,1",139.0 mm,₺0.82,"244,134",  4.3  ,44%
Antalya,Mediterranean,Large City,2016,2,Winter,9.33,73.41,2619832,1241.78,8010.34,Low,8.0,943227.0,39.14,15.55,44.27,18:00,1.4153,"38,5",254.6 mm,₺0.54,"425,625",  9.0  ,39%
Erzurum,Eastern Anatolia,Medium City,2019,4,Spring,8.78,51.12,762321,195.86,8008.21,Low,3.0,278240.0,34.68,15.24,24.02,21:00,0.3012,"53,7",,₺1.75,"497,697",  4.8  ,33%
Izmir,Aegean,Megacity,2022,1,Winter,5.5,81.89,4394694,3843.32,18113.71,High,12.0,1384730.0,22.66,18.32,17.61,,3.8382,"8,2",11.4 mm,₺1.82,"845,348",  6.6  ,87%
Tekirdag,Marmara,Medium City,2022,5,Spring,13.92,51.66,1085000,299.16,,Medium,4.0,384041.0,44.09,10.69,11.98,20:00,0.5271,"52,9",205.1 mm,₺2.04,"882,324",  4.9  ,78%
Adana,Mediterranean,Large City,2018,4,Spring,24.51,53.33,2237940,746.89,16185.05,High,,791946.0,23.51,8.32,11.79,08:00,1.2692,"8,3",243.5 mm,₺1.14,"66,412",,34%
Afyonkarahisar,Aegean,Small City,2015,3,Spring,21.1,,734000,164.07,8736.06,Low,1.0,231318.0,40.86,5.01,17.4,,0.2807,"24,6",115.5 mm,₺2.39,"362,538",  7.2  ,36%
Balıkesir,Marmara,Medium City,2019,1,Winter,-0.12,66.11,1264958,497.82,6980.09,Low,4.0,416688.0,30.15,8.66,41.37,21:00,0.7117,"45,4",31.0 mm,₺0.9,"446,349",  6.7  ,74%
Diyarbakir,Southeastern Anatolia,Large City,2023,8,Summer,37.89,48.97,1801268,715.63,12318.0,Low,4.0,680000.0,21.63,12.98,12.76,08:00,0.9941,"75,0",140.9 mm,,"794,350",  9.8  ,30%
Malatya,Eastern Anatolia,Medium City,2016,9,Autumn,6.61,,781118,908.78,7910.91,Low,3.0,240939.0,32.78,5.83,63.25,19:00,0.2922,"61,9",182.2 mm,₺0.68,"678,564",  12.0  ,69%
Erzurum,Eastern Anatolia,Medium City,2022,8,Summer,24.91,56.8,762321,173.36,10784.87,Low,3.0,234116.0,29.4,9.69,48.85,08:00,0.4698,"50,7",176.6 mm,₺1.33,"842,996",  10.1  ,61%
Erzurum,Eastern Anatolia,Medium City,2023,6,Summer,24.22,57.57,762321,1019.15,7532.12,Low,1.0,253635.0,10.94,13.31,57.72,18:00,0.4541,"63,5",161.9 mm,₺2.0,"840,507",  9.0  ,43%
Trabzon,Black Sea,Medium City,2018,11,Autumn,15.37,43.0,811874,224.17,5490.61,Low,4.0,254345.0,26.71,11.47,57.49,09:00,0.3717,"9,9",208.8 mm,₺0.72,"134,568",  5.6  ,69%
Samsun,Black Sea,Large City,2015,1,Winter,-3.61,41.55,1361505,416.65,11019.51,Low,5.0,425175.0,41.78,9.4,14.29,19:00,0.7112,"23,3",177.6 mm,₺0.8,"356,994",  2.4  ,84%
